benefit,category,company address,company district,company id,company name,company province,description,level,name,requirement,salary,type,contact email,contact name,contact phone,work place
"- Salary pay: Open Salary, it depends on candidate’s experience and qualification
- More details will be discussed during the interview.

If it suits to you & your friend in career path, please apply online your Resume (CV) to resume@hrstrategyvn.com or call to 0918 082 881 (Ms Sang) / Skype ID: sangrom. Thanks a lot.",Dệt/May/Đồ da,,,542620ee6a622d655a410000,Chiến Lược Nhân sự,Hồ Chí Minh,"Foreign Company in the Garment industry (specialize in lingerie); they are looking for a Pattern Technical _Bra (Open for Expat) Position.
Location Working: Binh Duong Province
Report to: Technical Manager

- To develop patterns (prototype > finalization) within cost, delivery and quality of fit targets defined
- Delivers prototype and finalized pattern
- Coordinates with key stakeholders (Work Study, Consumption Assessment, etc.) to optimize pattern efficiency
- Works within KPIs set (cost, timing and quality, no.of fit cycles, etc.)
",Nhân viên,Chuyên Viên Thiết Kế Quần Lót – Áo Ngực,"- Intimate Lingerie Pattern and Fit Knowledge
- Cross-Functional Collaboration
- Cost Awareness
- Basic of written and spoken English
",$700 - $900,Toàn thời gian,resume@hrstrategyvn.com,Ms.Sang,0918 082 881,"[""Bình Dương""]"
"Học việc hoàn toàn miễn phí mà vẫn được hưởng lương cơ bản.
Được đào tạo chuyên sâu kiến thức BĐS, kỹ năng giao tiếp, nghiệp vụ bán hàng trong suốt quá trình làm việc.
Lương Căn Bản : Từ 4.000.000đ/tháng trở lên
Hỗ trợ tiền Marketing : 500.000-1.000.000đ/tháng
Hoa hồng NV : 8tr- 50tr/sản phẩm
Được tham gia BHXH,BHYT,BHTN đầy đủ
Địa điểm làm việc: tại trụ sở chính 65 Nguyễn Thị Thập, KDC Him Lam, P.Tân Hưng, Q7,TP.HC
Nộp hồ sơ qua mail: lephuong@diaochoangkhang.vn
Hoặc liên hệ trực tiếp:( Ms Phương)
",Kinh doanh,,,58c62040549e2c6e9a000008,Công Ty CPDV Địa Ốc Hoàng Khang,Hồ Chí Minh,"-Gọi database,khai thác và chăm sóc khách hàng.
-Gọi điện, tư vấn và bán các sản phẩm BĐS được phân phối độc quyền tại công ty.
-Đăng tin online… để tìm kiếm khách hàng.
-Dẫn khách hàng đi xem dự án. (Công ty hỗ trợ xe Ô tô)
",Mới tốt nghiệp,Nhân Viên Kinh Doanh ,"- Độ tuổi: từ 18 đến 32
- Giới tính: nam và nữ
- Trình độ: đã tốt nghiệp THPT trở lên
- Kinh nghiệm: sẽ được đào tạo khi nhận việc
Ưu tiên: ứng viên nhanh nhẹn, chịu khó, có kinh nghiệm sale.
",7000000,Toàn thời gian,bichphuong20122014@gmail.com,Ms Phương,945861069,"[""Hồ Chí Minh""]"
"-	Thu nhập bình quân tháng cạnh trạnh.
-	Được ký hợp đồng lao động; được đóng BHXH, BHYT, BH thất nghiệp theo luật định.
-	Được thưởng hàng năm theo quy định của công ty.
-	Được tham gia các hoạt động văn hóa thể thao thường xuyên của công ty.
-	Được tham gia khóa đào tạo, hướng dẫn trước và trong quá trình làm việc.
-	Môi trường làm việc cởi mở, năng động, chuyên nghiệp.
",Cơ khí,,,591128e1549e2c71b7000001,Công ty TNHH General Motors Việt Nam,,"- Công nhân sản xuất và lắp ráp ô tô tại xưởng Sơn, xưởng Lắp ráp, xưởng Thân xe
- Làm việc theo yêu cầu của quản lý",Công nhân,Tuyển 100 Công nhân Sản xuất và Lắp ráp Ô tô,"-	Tuổi: 18 – 40.
-	Tốt nghiệp PTTH trở lên.
-	Kinh nghiệm và kỹ năng ưu tiên:
o	Chuyên ngành gò, hàn.
o	Chuyên ngành sửa chữa ô tô.
o	Chuyên ngành cơ khí các loại (Tiện, nguội…).
o	Chuyên ngành sơn.
",5000000,Toàn thời gian,thu.duonganh@gm.com,Dương Anh Thư,438500455,"[""Hà Nội""]"
"- Trợ cấp hàng tháng: 2.600.000đ + ăn trưa
- Cơ hội được làm việc trong môi trường chuyên nghiệp
- Mở ra cơ hội việc làm chính thức",Điện/Điện tử/Điện lạnh,,,591128e1549e2c71b7000001,Công ty TNHH General Motors Việt Nam,,"- Update the MTS/TIS (Maintenance Task Sheet/Task Instruction Sheet/Total Productive Maintenance) in Maintenance shop
- Visualize MTS/TIS/TPM at working station",Thực tập sinh,Tuyển Thực tập sinh Cơ điện,"- Good knowledge about Technical
- Good command of English
- Good computer skill (MS Word, Excel, Power Point, Auto Cad, etc)
- Ability to work under pressure
- BA in Electrical Engineering/Student of Technical University,

",2600000,Thực tập,thu.duonganh@gm.com,Dương Anh Thư,438500455,"[""Hà Nội""]"
"- Thu nhập từ 12 triệu - 25 triệu.
- Được huấn luyện phương pháp sư phạm đặc thù và đặc biệt hiệu quả của SMARTCOM.
- Được làm việc trong môi trường năng động, sáng tạo;
- Được thực hiện các quyền lợi theo Luật lao động.",Giáo dục/Đào tạo,,,5912d893549e2c5fe1000014,Công ty CP Smartcom Việt Nam,,"- Tham gia giảng dạy các khóa học Tiếng Anh tại các trung tâm đào tạo và các dự án của công ty;
- Xây dựng nội dung cho các chương trình học Tiếng Anh trực tuyến (E – learning);
- Hỗ trợ học viên học online khi có phân công công việc.",Nhân viên,Giáo viên tiếng Anh,"- Tốt nghiệp ĐH chuyên ngành tiếng Anh hoặc từ các trường có tiếng Anh là thế mạnh.
- Có chứng chỉ TOEIC 990 hoặc IELTS 7.0 là một lợi thế.
- Có tối thiểu 2 năm kinh nghiệm công tác.
- Có kỹ năng sư phạm tốt;
- Chịu khó, nhiệt tình, chăm chỉ, có trách nhiệm và chủ động trong công việc.",15000000,Toàn thời gian,tuyendung@smartcom.vn,Lan Anh,04 3262 6699,"[""Hà Nội""]"
"- Mức lương hấp dẫn: Từ 5 triệu - 10 triệu/tháng tùy năng lực
-  Được làm việc trong môi trường năng động, sáng tạo;
- Được thực hiện các quyền lợi theo Luật lao động.
- Môi trường làm việc chuyên nghiệp, năng động.
- Được tham gia đào tạo tiếng Anh miễn phí.",IT-Phần mềm,,,5912d893549e2c5fe1000014,Công ty CP Smartcom Việt Nam,,"- Xây dựng các ứng dụng web trên nền tảng PHP &amp; MySQL, HTML5

- Xây dựng và quản trị hệ thống website bằng mã nguồn mở Wordpress, Joomla...

- Nội dung công việc sẽ được trao đổi chi tiết trong buổi phỏng vấn.",Nhân viên,Lập trình viên PHP,"- Có kinh nghiệm lập trình web trên PHP &amp; My SQL, HTML5

- Sử dụng thành thạo lập trình Front-end: HTML, CSS, JS…

- Có kinh nghiệm xây dựng và quản trị hệ thống website bằng mã nguồn mở Wordpress,

Joomla...

- Trung thực, chủ động, nhiệt tình trong công việc.

- (Có thể nhận sinh viên mới ra trường).",7000000,Toàn thời gian,tuyendung@smartcom.vn,Lan Anh,04 3262 6699,"[""Hà Nội""]"
"- Lương: 5 triệu
- Được làm việc trong môi trường năng động, sáng tạo;
- Được thực hiện các quyền lợi theo Luật lao động.
- Môi trường làm việc chuyên nghiệp, năng động.
- Được tham gia đào tạo tiếng Anh miễn phí.",Báo chí/Truyền hình,,,5912d893549e2c5fe1000014,Công ty CP Smartcom Việt Nam,,"- Cắt ghép và dựng phim từ tư liệu có sẵn hoặc quay mới

- Chi tiết công việc sẽ được trao đổi cụ thể hơn khi phỏng vấn",Nhân viên,Part time Biên tập viên Video,"- Có đam mê và sở thích làm phim.

- Biết sử dụng cơ bản các thiết bị quay phim (máy quay, máy ảnh,...)

- Biết sử dụng cơ bản các công cụ dựng phim (điển hình là bộ công cụ Adobe như: Adobe After effect, Adobe Primiere...Hoặc các phầm mềm liên quan đến xử lý hình ảnh động tương tự)

- Có khả năng đọc kịch bản và có tư duy chuyển thể dữ liệu viết sang hình ảnh.

- Gửi kèm 1 video đã làm và mô tả chi tiết về video.",5000000,Toàn thời gian,tuyendung@smartcom.vn,Lan Anh,04 3262 6699,"[""Hà Nội""]"
,Tư vấn thiết kế,,,5912d893549e2c5fe1000014,Công ty CP Smartcom Việt Nam,,"- Chủ động liên hệ và tư vấn học viên tiềm năng theo danh sách data được cung cấp
- Thuyết phục học viên đăng ký học theo chương trình tiếng Anh tại Smartcom.

- Tham gia tổ chức hội thảo dành cho sinh viên",Mới tốt nghiệp,Cán bộ tư vấn tuyển sinh,"- Nam/nữ. Độ tuổi từ 22- 27 tuổi. Làm việc tại Hà Nội.
- Tốt nghiệp Đại học, ưu tiên ứng viên tốt nghiệp Khối ngành Kinh tế.
- Có kinh nghiệm làm việc từ 12 tháng trở lên. Ưu tiên ứng viên có kinh nghiệm ở các lĩnh vực Telesales và Dịch vụ khách hàng.
- Yêu thích kinh doanh, không ngại bị từ chối. Sẵn sàng cống hiến hết mình để có thu nhập cao.
- Giao tiếp và xử lý tình huống nhanh nhẹn, giọng nói chuẩn, không ngọng, dễ nghe.
- Khả năng chịu được áp lực cao.",7000000,Toàn thời gian,tuyendung@smartcom.vn,Lan Anh,04 3262 6699,"[""Hà Nội""]"
"Lương : $400 -$600 (+ Hoa hồng) tùy theo năng lực của ứng viên
Xe đưa rước đi công tác
Trao đổi thêm khi phỏng vấn
Thời gian làm việc thứ 2 đến thứ 6.
Phúc lợi và các chế độ đầy đủ, bảo hiểm cho người thân",Kinh doanh,,,542620ee6a622d655a410000,Chiến Lược Nhân sự,Hồ Chí Minh,"công ty kinh doanh Nguyên Vật Liệu Công Nghiệp. Hiện nay cần tuyển Sales Senior Executive - Chuyên Viên Kinh Doanh
Làm việc tại: Hà Nội & HCM & Đà Nẵng (mỗi khu vực tuyển 3 nhân viên)
Thời gian làm việc: 8:30 a.m - 5 p.m thứ 2 - thứ 6
MÔ TẢ CÔNG VIỆC
Tìm kiếm và phát triển các kênh khách hàng trong ngành nguyên vật liệu công nghiệp: đồng, nhôm, thép, nhựa,
Tư vấn và thuyết phục khách hàng sử dụng sản phẩm của công ty nhập hàng về
Thiết lập các tiêu chuẩn về kết quả kinh doanh
Đảm bảo mục tiêu doanh số, đề xuất điều chỉnh giá và các hoạt động marketing
Phân tích thông tin đối thủ, thị trường và khách hàng, đề xuất các chính sách.
Trực tiếp bán hàng cho các khách hàng lớn.
Tham gia và thực hiện các dự của công ty
Đi công tác, tham dự các buổi hội thảo
Các nội dung chi tiết khác sẽ được trao đổi khi phỏng vấn.",Nhân viên,Sales Senior Executive ( Nguyên Liệu Đồng Nhôm & thép công cụ),"Từ 28 tuổi trở lên
Tốt nghiệp cao đẳng trở lên, có kiến thức trong ngành nguyên vật liệu công nghiệp
Có kinh nghiệm sales B2B
Kinh nghiệm sales và tìm kiếm khách hàng trong các mảng nhà máy từ một trong các công ty sản xuất điện tử, nguyên vật liệu, cơ khí, nhôm, đồng, inox, hoặc các công ty đóng tàu ...
Có tính cam kết cao, có chiều sâu trong suy nghĩ và nhận thức
Ưu tiên ứng viên có tiếng Anh",10000000,Toàn thời gian,sang.nguyen@hrstrategy.vn,Ms.Sang,908905605,"[""Hồ Chí Minh""]"
"- Lương : $700 -$800 + Hoa hồng theo doanh số
- Nghĩ phép 12/năm, mỗi năm tăng 1 ngày đến 21/năm
- Người thân bị bệnh nặng nhập viên được nghỉ 2 ngày có lương
- Giáng sinh nghỉ 1 ngày có lương
- Trợ cấp tiến ăn và xăng: 1 triệu/tháng
- Bảo hiểm dức khỏe: AON : 62.760.000 đồng / năm trong bệnh viện.
- Quà tặng đám cưới 1.500.000 đồng / lần.
- Hỗ trợ phụ cấp sữa cho em bé đầu tiên: 6.000.000 đồng / lần (áp dụng cho thâm niên 3 năm)
- Thâm niên 5 năm: 500 USD
- Thâm niên 10 năm: 1.000 USD
- Quà tặng cho dịp Tết, lễ hội Full-moon, ngày trẻ em ...
- Du lịch hàng năm 2 lần

Anh/Chị hoặc người thân quan tâm vui lòng apply CV online: resume@hrstrategyvn.com, hoặc gọi điện thoại/viber/zalo theo số 0918 082 881 hoặc add Skype: sangrom. Thanks
",Kinh doanh,,,542620ee6a622d655a410000,Chiến Lược Nhân sự,Hồ Chí Minh,"Cty nước ngoài kinh doanh B2B trong lĩnh vực nguyên vật liệu công nghiệp. Hiện nay cần tuyển Sales Supervisor – Giám Sát Bán Hàng Ngành Đồng
Nơi làm việc: Đà Nẵng
Báo cáo trực tiếp cho: Trưởng Phòng Kinh Doanh
Thời gian làm việc: 8h30 - 5h PM từ thứ 2 - thứ 6

- Tìm kiếm và phát triển các kênh khách hàng trong ngành nguyên vật liệu công nghiệp: đồng, nhôm, thép, nhựa,
- Tư vấn và thuyết phục khách hàng sử dụng sản phẩm của công ty nhập hàng về
- Thiết lập các tiêu chuẩn về kết quả kinh doanh
- Đảm bảo mục tiêu doanh số, đề xuất điều chỉnh giá và các hoạt động marketing
- Phân tích thông tin đối thủ, thị trường và khách hàng, đề xuất các chính sách.
- Trực tiếp bán hàng cho các khách hàng lớn.
- Quản trị đội ngũ bán hàng: Tuyển dụng, huấn luyện, phát triển, giám sát nhân viên bán hàng
- Tham gia và thực hiện các dự của công ty
- Đi công tác, tham dự các buổi hội thảo",Trưởng nhóm/Giám sát,Sales Supervisor,"- Có ít nhất 5 năm kinh nghiệm  và 2 năm ở vị trí tương đương, am hiểu thị trường và có kinh nghiệm kinh doanh trong ngành hàng nguyên vật liệu ngành Đồng, nhôm, kim loại, thép ...
- Kĩ năng quản lý nhóm tốt
 - Lên kế hoặc tiếp cận khách hàng và hướng dẫn dân viên trong nhóm hoàn thành tốt công việc
- Tiếng Anh giao tiếp
- Kĩ năng bán hàng tốt
- Kĩ năng quản lý tốt.
",15.000.000,Toàn thời gian,resume@hrsvn.com,Ms.Sang,0918 082 881,"[""Đà Nẵng""]"
"- Mức lương: lương cơ bản (6 triệu) + hoa hồng ( 3% giá bán).
- Thu nhập tháng từ: 15 – 30 triệu. (Tùy theo chất lượng nhân sự)
- Môi trường làm việc trẻ trung, hiện đại, năng động và chuyên nghiệp, được đào tạo bởi các chuyên gia hàng đầu Việt Nam.
- Có cơ hội được trau dồi kiến thức chuyên môn, kỹ năng công việc chế độ đào tạo thường xuyên và hỗ trợ nhân viên tốt nhất cùng nhiều cơ hội thăng tiến cao trong công việc.
- Được hưởng đầy đủ chính sách theo quy định của luật lao động.
- Được tham gia các hoạt động khác của Công ty như thăm quan, du lịch.",Bất động sản,,,591540f7549e2c2c9500000f,CÔNG TY CPĐT VÀ XD ĐỊA ỐC GIA LONG,,"- Tìm hiểu nhu cầu, tư vấn khách hàng có nhu cầu;
- Quảng bá và kinh doanh các sản phẩm bất động sản do công ty phân phối;
- Chủ động tìm kiếm, mở rộng thị trường và khách hàng tiềm năng;
- Khảo sát thị trường nhằm thu thập, cập nhật thông tin cần thiết;
- Lập kế hoạch, đăng tin, tìm kiếm, khai thác khách hàng tiềmnăng.
- Tư vấn các dự án đến khách hàng có nhu cầu.
- Chăm sóc, hướng dẫn khách hàng đi tham dự án",Mới tốt nghiệp,NHÂN VIÊN KINH DOANH BĐS,"Nam/nữ tuổi từ 22 – 30, trình độ từ trung cấp trở lên chuyên ngành quản trị kinh doanh, tài chính – ngân hàng và các ngành các liên quan.- Có kỹ năng giao tiếp, thuyết phục tốt.- Ngoại hình cân đối, dễ nhìn.- Có tinh thần cầu tiến, chịu áp lực công việc.- Có laptop.- Sử dụng thành thạo tin học văn phòng.- Tự tin trong giao tiếp, có khả năng làm việc độc lập hoặc theo nhóm.- Sức khỏe tốt, có tinh thần trách nhiệm trong công việc.- Có thể nhận việc ngay đối với những ứng viên đã làm qua các Sàn giao dịch BĐS.- Có kinh nghiệm thực tế trong cùng lĩnh vực liên quan.- Ưu tiên ứng viên có nhiều kinh nghiệm trong lĩnh vực BĐS, đã bán hàng thành công ở các dự án lớn.- Có kỹ năng giao tiếp tốt, tư vấn, kỹ năng chốt hợp đồng với khách hàng.- Có khả năng phát triển các mối quan hệ thân thiết với hệ thống khách hàng.- Năng động, có khả năng làm việc độc lập và theo nhóm.- Khả năng giao tiếp, tổ chức, sắp xếp công việc tốt.
",5000000,Toàn thời gian,thuyan201193@gmail.com,Nguyễn Thùy An,945823058,"[""Hồ Chí Minh""]"
"- Được làm việc trong môi trường chuyên nghiệp và có nhiều cơ hội thăng tiến
- Được tham gia nhiều chương trình đào tạo và phát triển bản thân
- Được tham gia các hoạt động tập thể của công ty",Tư vấn thiết kế,,,591540f7549e2c2c9500000f,CÔNG TY CPĐT VÀ XD ĐỊA ỐC GIA LONG,,"- Đưa ra ý tưởng và triển khai thiết kế đồ họa quảng cáo thương hiệu cho công ty
- Thiết kế các sản phẩm quảng cáo in ấn của công ty như logo, tờ rơi, poster, thư mời, bộ nhận diện thương hiệu, các ấn phẩm phục vụ chương trình, sự kiện công ty (Broucher, tờ rơi, backdrop,...)
- Thiết kế các sản phẩm truyền thông online như banner, hình ảnh,...cho các chương trình, ưu đãi, khuyến mãi, sự kiện,...của công ty.
- Thiết kế Website phục vụ cho công việc marketing, quảng cáo cacs dự án bất động sản  của công ty phân phối.",Nhân viên,NHÂN VIÊN THIẾT KẾ ĐỒ HỌA-THIẾT KẾ WEB,"Có kinh nghiệm, kiến thức về Marketing Online, Social Media, biết chụp hình, xây dựng các clip giới thiệu về sản phẩm Bất động sản
- Biết sử dụng thành thạo các phần mềm đồ họa như Photoshop, Core IDRAW, Indesign, Dreamweaver, Producer,...và các công cụ tạo và sửa chữa ảnh, video và các công cụ khác.
- Sử dụng tốt và biết chỉnh sửa Wordpress, Blog,...
- Có kinh nghiệm 1 năm trở lên với công việc thiết kế các ấn phẩm quảng cáo.
- Có khiếu thẩm mỹ, tư duy và tính sáng tạo cao.
- Tác phong làm việc chuyên nghiệp",7000000,Toàn thời gian,thuyan201193@gmail.com,Nguyễn Thùy An,945823058,"[""Hồ Chí Minh""]"
"Chế độ lương thưởng cao, bao gồm :Lương cứng 8tr + hoa hồng.
- Chính sách hoa hồng hấp dẫn - cạnh tranh.
- Lương tháng 13 + Thưởng tết + Thưởng nóng hàng tháng bằng hiện vật hoặc tiền mặt.
- Thường xuyên được đào tạo nâng cao kỹ năng trong công việc.
- Nhiều cơ hội thăng tiến do Công ty đang trên đà phát triển, mở rộng (trưởng nhóm kinh doanh, trưởng phòng kinh doanh, Phó GĐ…).
- Được ký Hợp đồng lao động, đóng BHXH - BHYT - BHTN đầy đủ theo quy định của Nhà Nước.
- Môi trường làm việc chuyên nghiệp, thân thiện, đoàn kết cùng phát triển vì mục tiêu chung.
- Các chế độ đãi ngộ hấp dẫn khác ...",Tư vấn thiết kế,,,591540f7549e2c2c9500000f,CÔNG TY CPĐT VÀ XD ĐỊA ỐC GIA LONG,,"Giao dịch trực tiếp với khách hàng để giới thiệu và bán sản phẩm.
- Thực hiện các công việc liên quan đến hợp đồng và thanh toán.
- Thu thập thông tin về khách hàng, thị trường để xây dựng cơ sở dữ liệu cho phòng Kinh doanh.
- Tìm kiếm và chăm sóc khách hàng.
- Hoàn thành các chỉ tiêu được giao về doanh số, khách hàng, sản phẩm.",Nhân viên,NHÂN VIÊN KINH DOANH BĐS LÀM VIỆC TẠI QUẬN 8,"- Tốt nghiệp từ Trung cấp trở lên trong các ngành QTKD, tài chính, marketing, ngân hàng, luật. (Đối với những ứng viên học các chuyên ngành Kỹ Thuật nhưng năng động, nhiệt tình
chịu khó, tự tin trong công việc, có khả năng tìm kiếm khách hàng và kỹ năng giao tiếp tốt thì Công ty sẽ xem xét trong quá trình phỏng vấn và nhận việc).
- Kinh nghiệm: 3 đến 6 tháng
- Đam mê Kinh doanh Bất Động Sản, có hoài bão lớn.
- Có khả năng giao tiếp tốt, tự tin.
- Nhiệt tình, siêng năng trong công việc.
- Có laptop và phương tiện đi lại làm việc.
- Ưu tiên ứng viên có kinh nghiệm làm việc trong lĩnh vực Bất Động Sản, Sales, Bán hàng.",5000000,Toàn thời gian,thuyan201193@gmail.com,Nguyễn Thùy An,945823058,"[""Hồ Chí Minh""]"
"Chế độ lương thưởng cao, bao gồm :Lương cứng 8tr + hoa hồng.
- Chính sách hoa hồng hấp dẫn - cạnh tranh.
- Lương tháng 13 + Thưởng tết + Thưởng nóng hàng tháng bằng hiện vật hoặc tiền mặt.
- Thường xuyên được đào tạo nâng cao kỹ năng trong công việc.
- Nhiều cơ hội thăng tiến do Công ty đang trên đà phát triển, mở rộng (trưởng nhóm kinh doanh, trưởng phòng kinh doanh, Phó GĐ…).
- Được ký Hợp đồng lao động, đóng BHXH - BHYT - BHTN đầy đủ theo quy định của Nhà Nước.
- Môi trường làm việc chuyên nghiệp, thân thiện, đoàn kết cùng phát triển vì mục tiêu chung.
- Các chế độ đãi ngộ hấp dẫn khác ...",Bất động sản,,,591540f7549e2c2c9500000f,CÔNG TY CPĐT VÀ XD ĐỊA ỐC GIA LONG,,"Giao dịch trực tiếp với khách hàng để giới thiệu và bán sản phẩm.
- Thực hiện các công việc liên quan đến hợp đồng và thanh toán.
- Thu thập thông tin về khách hàng, thị trường để xây dựng cơ sở dữ liệu cho phòng Kinh doanh.
- Tìm kiếm và chăm sóc khách hàng.
- Hoàn thành các chỉ tiêu được giao về doanh số, khách hàng, sản phẩm.",Nhân viên,NHÂN VIÊN KINH DOANH BĐS LÀM VIỆC TẠI QUẬN 1,"Tốt nghiệp từ Trung cấp trở lên trong các ngành QTKD, tài chính, marketing, ngân hàng, luật. (Đối với những ứng viên học các chuyên ngành Kỹ Thuật nhưng năng động, nhiệt tình
chịu khó, tự tin trong công việc, có khả năng tìm kiếm khách hàng và kỹ năng giao tiếp tốt thì Công ty sẽ xem xét trong quá trình phỏng vấn và nhận việc).
- Kinh nghiệm: 3 đến 6 tháng
- Đam mê Kinh doanh Bất Động Sản, có hoài bão lớn.
- Có khả năng giao tiếp tốt, tự tin.
- Nhiệt tình, siêng năng trong công việc.
- Có laptop và phương tiện đi lại làm việc.
- Ưu tiên ứng viên có kinh nghiệm làm việc trong lĩnh vực Bất Động Sản, Sales, Bán hàng.",5000000,Toàn thời gian,thuyan201193@gmail.com,Nguyễn Thùy An,945823058,"[""Hồ Chí Minh""]"
"•	Thu nhập: Lương cơ bản + Phụ cấp + Hoa hồng + Thưởng ( trên 15 triệu)
•	Được đóng đầy đủ chế độ BHYT, BHXH, BHTN  theo quy định của nhà nước.
•	Được hưởng chế độ theo bộ luật lao động hiện hành, nghỉ lễ, tết.
•	Lương tháng thứ 13 gấp nhiều lần lương cơ bản.
•	Du lịch nghỉ mát, lễ hội …nhiều lần / năm.
•	Có các hoạt động tập thể teambuilding..
•	Đài thọ ăn trưa + vé xe
•	Chính sách phúc lợi cán bộ nhân viên các ngày lễ tết trong năm.
•	Môi trường, cơ sở vật chất tiêu chuẩn cao, hiện đại. Không gian sáng tạo.
•	Làm việc trong điều kiện mát mẻ, tiện nghi Trà, Café, ăn nhẹ …
•	Chế độ đào tạo: đào tạo thường xuyên bởi các chuyên gia hàng đầu về marketing.
Yêu cầu hồ sơ:
•	Đơn xin việc
•	CV tiếng việt
•	Bằng cấp chứng chỉ liên quan.
",Dịch vụ khách hàng,,,57dcff9d6a622d24eb040000,Công ty cổ phần LMK Việt Nam,Hà Nội,"•	Tìm kiếm và tư vấn cho lao động tham gia dịch vụ việc làm trong và ngoài nước.
•	Tìm kiếm, liên hệ và hợp tác với các cơ quan chức năng, các trường nghề… để triển khai công tác tư vấn, tuyển dụng lao động tại các địa phương.
•	Xây dựng mạng lưới tuyển dụng lao động thông qua các kênh tuyển dụng, các cộng tác viên…
•	Chịu trách nhiệm về số lượng và chất lượng nguồn lao động mình tuyển dụng.
•	Hỗ trợ công tác thi tuyển triển khai đơn hàng.
•	Giải quyết các vấn đề phát sinh của người lao động trước và sau khi xuất cảnh.
•	Hỗ trợ thực hiện các công việc khác theo sự phân công của quản lý.
",Nhân viên,Cán bộ tuyển dụng nguồn lao động,"•	Tốt nghiệp từ trung cấp trở lên, có tối thiểu 01 năm kinh nghiệm về kinh doanh, marketing, sales.
•	Có kỹ năng giao tiếp, đàm phán, thuyết trình tốt, khéo léo, kiên trì và xử lý tình huống nhanh.
•	Sẵn sàng đi công tác tại địa phương.
•	Nhanh nhẹn, cầu tiến, tư duy sáng tạo và chịu được áp lực công việc. Chăm chỉ, trung thực, có trách nhiệm, nghiêm túc với công việc .
•	Ưu tiên các ứng viên có kinh nghiệm làm trong lĩnh vực tuyển nguồn đi xuất khẩu lao động.
•	Ưu tiên đã có gia đình muốn công việc ổn định lâu dài
",15000000,Toàn thời gian,tuyendung@lmkvietnam.com,Mrs Nhung,936284566,"[""Hà Nội""]"
"Thu nhập hấp dẫn (không giới hạn dựa vào năng lực, mức lương tối thiểu của một chuyên gia bất động sản chuyên nghiệp ít nhất 20000000 đồng/tháng).
Mức hoa hồng cực cao tương xứng với công việc (có thể lên đến 60%).
Thưởng thường xuyên, thưởng nóng, thưởng theo quý, tháng, năm.
Được hưởng các chế độ, chính sách đãi ngộ hấp dẫn từ công ty, được thường xuyên tham gia các hoạt động vui chơi, giải trí, thiện nguyện, thể thao hàng tháng, được đi du lịch hàng năm.
",Bất động sản,,,58df2c28549e2c1c29000009,Công Ty CP Đầu Tư Địa Ốc NEW WORLD LAND,,"Khai thác nhu cầu và tư vấn khách hàng.
Chăm sóc khách hàng hiện tại và khách hàng tiềm năng.
Hướng dẫn khách hàng tham quan bất động sản.
Thực hiện công tác quản lý giao dịch với khách hàng.
Trực tiếp ký kết, chốt hợp đồng với khách hàng.
",Nhân viên,Chuyên Viên Sale Bất Động Sản (không yêu cầu kinh nghiệm),"Nam tuổi từ 20 đến 30, không yêu cầu kinh nghiệm (vì sẽ được đào tạo trong quá trình làm việc), không yêu cầu nghề nghiệp chuyên môn (chỉ yêu cầu tốt nghiệp trung cấp trở lên tất cả các ngành nghề).
Có khả năng giao tiếp, khả năng đàm phán thuyết phục.
Thái độ làm việc nghiêm túc, chịu khó, kiên trì trong công việc.
Đam mê bất động sản, đam mê kiếm tiền.
Có khả năng làm việc nhóm và làm việc độc lập.
",20000000,Toàn thời gian,phongnhansu.newworldland@gmail.com,Phòng nhân sự,917339000,"[""Hồ Chí Minh""]"
